movie_title,title_year,genres,actor_1_name,actor_2_name,actor_3_name,director_name,keywords
Cars 2,2011.0,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,best friend car race conspiracy gadget car spy
Green Lantern,2011.0,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,autopsy lantern planet ring test pilot
Toy Story 3,2010.0,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,college day care escape teddy bear toy
Terminator Salvation,2009.0,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,McG,death row future machine rescue skynet
Furious 7,2015.0,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,James Wan,car falling off a cliff hospital revenge star died before release terrorist
World War Z,2013.0,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,chaos disease infection pandemic zombie
X-Men: Days of Future Past,2014.0,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,dystopia super strength supernatural power time paradox time travel
Star Trek Into Darkness,2013.0,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,admiral captain manhunt mission space
Jack the Giant Slayer,2013.0,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,bean giant king no opening credits princess
The Great Gatsby,2013.0,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,ingratitude mansion party title appears in writing tragedy
Prince of Persia: The Sands of Time,2010.0,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,alamut dagger king persia princess
Pacific Rim,2013.0,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,giant monster kaiju pilot portal robot
Transformers: Dark of the Moon,2011.0,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,autobot decepticon job interview moon spacecraft
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,cult figure femme fatale indiana jones unsubtitled foreign language year 1957
The Good Dinosaur,2015.0,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,apatosaurus asteroid dinosaur fear river
Brave,2012.0,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,archery coming of age female warrior princess rebellious daughter
Star Trek Beyond,2016.0,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,hatred sequel space opera star trek third part
WALL·E,2008.0,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,earth obesity plant robot soil
Rush Hour 3,2007.0,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,ambassador assassination chinese french triad
2012,2009.0,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,ark catastrophe geologist president writer
A Christmas Carol,2009.0,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,charles dickens christmas christmas eve ghost scrooge
Jupiter Ascending,2015.0,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,box office flop critically bashed planet earth space opera woman in bra and panties
The Legend of Tarzan,2016.0,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,africa capture jungle male objectification tarzan
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,hide and seek lion magic professor snow
X-Men: Apocalypse,2016.0,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,mutant superhero superhero team x men year 1983
The Dark Knight,2008.0,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,based on comic book dc comics psychopath star died before release urban setting
Up,2009.0,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,balloon house promise retirement skeleton
Monsters vs. Aliens,2009.0,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,alien alien invasion alien space craft giant giantess
Iron Man,2008.0,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,afghanistan billionaire inventor playboy u.s. air force
Hugo,2011.0,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,automaton mechanical railway station steampunk train
Wild Wild West,1999.0,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,buddy movie general inventor steampunk utah
The Mummy: Tomb of the Dragon Emperor,2008.0,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,army china emperor mummy shangri la
Suicide Squad,2016.0,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,based on comic book critically bashed father daughter relationship reference to superman super villain
Evan Almighty,2007.0,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,ark change congressman depiction of god flood
Edge of Tomorrow,2014.0,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,alien combat dying repeatedly end of the world time loop
Waterworld,1995.0,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,future sail sea smoker water
G.I. Joe: The Rise of Cobra,2009.0,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,cobra gi joe snake train warhead
Inside Out,2015.0,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,anger joy memory running away sadness
The Jungle Book,2016.0,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,fire jungle remake tiger wolf
Iron Man 2,2010.0,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,hammer military monaco revenge tony stark
Snow White and the Huntsman,2012.0,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,evil queen fairy tale magic queen snow white
Maleficent,2014.0,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,curse dark fantasy fairy king kingdom
Dawn of the Planet of the Apes,2014.0,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,ape dam leader post apocalypse sequel
The Lovers,2015.0,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,1770s british india great barrier reef india ring
47 Ronin,2013.0,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,box office flop ronin samurai shogun tournament
Captain America: The Winter Soldier,2014.0,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,conspiracy heroism megalomaniac super soldier world domination
Shrek Forever After,2010.0,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,alternate world fairy tale parody female warrior ogre true love
Tomorrowland,2015.0,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,boy genius futuristic city inventor teenage girl time travel
Big Hero 6,2014.0,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,high tech martial arts masked man robot superhero
Wreck-It Ralph,2012.0,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,arcade candy glitch king medal
The Polar Express,2004.0,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,boy christmas christmas eve north pole train
Independence Day: Resurgence,2016.0,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,alien battle defense independence day mothership
How to Train Your Dragon,2010.0,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,dragon island training viking village
Terminator 3: Rise of the Machines,2003.0,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,drifter exploding truck future machine skynet
Guardians of the Galaxy,2014.0,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,bounty hunter outer space raccoon talking animal tree
Interstellar,2014.0,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,black hole father daughter relationship saving the world space travel wormhole
Inception,2010.0,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,ambiguous ending corporate espionage dream subconscious thief
Godzilla Resurgence,2016.0,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,blood godzilla monster sequel
The Hobbit: An Unexpected Journey,2012.0,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,dragon dwarf hobbit orc wizard
The Fast and the Furious,2001.0,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,eighteen wheeler illegal street racing truck trucker undercover cop
The Curious Case of Benjamin Button,2008.0,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,deformed baby diary lingerie slip older man younger woman relationship premature aging
X-Men: First Class,2011.0,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,cia cia agent mutant nuclear war professor
The Hunger Games: Mockingjay - Part 2,2015.0,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,death of sister dystopia execution rebellion revolution
The Sorcerer's Apprentice,2010.0,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,chosen one enchanted object love spell training
Poseidon,2006.0,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,cruise escape ocean passenger water
Alice Through the Looking Glass,2016.0,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,clock dark fantasy mad hatter queen sequel
Shrek the Third,2007.0,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,disney spoof fairy tale prince princess tough guy
Warcraft,2016.0,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,based on video game fictional language fictional war orc sword and sorcery
Terminator Genisys,2015.0,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,alternate timeline cyborg future robot time machine
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,dragon king mouse quest warrior
Pearl Harbor,2001.0,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,Michael Bay,air raid black smoke japanese military japanese navy sunday
Transformers,2007.0,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,alien contact autobot decepticon robot vs. robot teenage hero
Alexander,2004.0,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,ancient greece conquest greek greek myth king
Harry Potter and the Order of the Phoenix,2007.0,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,battle magic school teacher wizard
Harry Potter and the Goblet of Fire,2005.0,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,fire goblet magic tournament wizard
Hancock,2008.0,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,bully comeuppance destruction prison superhero tough girl
I Am Legend,2007.0,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,Francis Lawrence,new york city pandemic post apocalypse survivalist virus
Charlie and the Chocolate Factory,2005.0,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,Tim Burton,chocolate diminution miniaturization physical flexability ticket
Ratatouille,2007.0,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,chef food french rat restaurant
Batman Begins,2005.0,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,armored car gangster gotham mixed martial arts social decay
Madagascar: Escape 2 Africa,2008.0,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,africa madagascar new york city sequel zoo
Night at the Museum: Battle of the Smithsonian,2009.0,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,hdtv motorcycle museum security guard tyrannosaurus rex
X-Men Origins: Wolverine,2009.0,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,army civil war claw fight commando wolverine the character
The Matrix Revolutions,2003.0,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,battle epic fight future machine
Frozen,2013.0,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,magic sister love sister sister relationship snow snowman
The Matrix Reloaded,2003.0,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,car motorcycle chase one against many oracle prophecy stylized violence
Thor: The Dark World,2013.0,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,arrest portal thor warrior weapon
Mad Max: Fury Road,2015.0,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,australia desert escape on the run post apocalypse
Angels & Demons,2009.0,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,conclave illuminati murder reference to bernini reference to raphael
Thor,2011.0,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,battle marvel cinematic universe scientist thor throne
Bolt,2008.0,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton,Byron Howard,cat dog hamster new york city superpower
G-Force,2009.0,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Hoyt Yeatman,fbi director guinea pig household appliance secret agent talking mouse
Wrath of the Titans,2012.0,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James,Jonathan Liebesman,ares hades titan underworld zeus
Dark Shadows,2012.0,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Tim Burton,camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup
Mission: Impossible - Rogue Nation,2015.0,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris,Christopher McQuarrie,capture computer hacker mission rogue agent spy
The Wolfman,2010.0,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik,Joe Johnston,asylum death full moon transformation werewolf
The Legend of Tarzan,2016.0,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,africa capture jungle male objectification tarzan
Bee Movie,2007.0,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn,Steve Hickner,bee dream sequence egg scatological humor squashed bug
Kung Fu Panda 2,2011.0,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Jennifer Yuh Nelson,china kung fu panda peacock tigress
The Last Airbender,2010.0,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,M. Night Shyamalan,avatar fire kingdom tribe water
Mission: Impossible III,2006.0,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,J.J. Abrams,arms dealer fictional government agency mission rescue vatican
White House Down,2013.0,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven,Roland Emmerich,black u.s. president president secret service tour white house
Mars Needs Moms,2011.0,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Simon Wells,boy martian rescue robot sexism
Flushed Away,2006.0,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,David Bowers,boat frog rat sewer toad
Pan,2015.0,Adventure Family Fantasy,Hugh Jackman,Cara Delevingne,Nonso Anozie,Joe Wright,1940s child hero fantasy world orphan reference to peter pan
Mr. Peabody & Sherman,2014.0,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,Rob Minkoff,dog father son relationship inventor talking dog time travel
Troy,2004.0,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,Wolfgang Petersen,greek mythology prince trojan troy
Madagascar 3: Europe's Most Wanted,2012.0,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Eric Darnell,animal circus island name in title lemur penguin
Die Another Day,2002.0,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune,Lee Tamahori,catfight clinic colonel diamond patricide
Ghostbusters,2016.0,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,Paul Feig,ghost ghostbuster ghostbusters male objectification reboot
Armageddon,1998.0,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton,Michael Bay,asteroid astronaut bomb meteorite outer space
Men in Black II,2002.0,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,Barry Sonnenfeld,alien lingerie lingerie model m.i.b. pug
Beowulf,2007.0,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché,Robert Zemeckis,creature demon king reward warrior
Kung Fu Panda 3,2016.0,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Alessandro Carloni,china kung fu panda pig village
Mission: Impossible - Ghost Protocol,2011.0,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist,Brad Bird,dubai kremlin race against time russian terrorist
Rise of the Guardians,2012.0,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin,Peter Ramsey,belief box office hit children new york city tooth
Fun with Dick and Jane,2005.0,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman,Dean Parisot,animal abuse ceo heist suburb unemployment
The Last Samurai,2003.0,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg,Edward Zwick,captain emperor honor japan samurai
Exodus: Gods and Kings,2014.0,Action Adventure Drama,Christian Bale,María Valverde,Ben Mendelsohn,Ridley Scott,egypt exodus moses pharaoh plague
Star Trek,2009.0,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,J.J. Abrams,box office hit future lifted by the throat star trek vulcan
Spider-Man,2002.0,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,evil goblin spider spider man superhero
How to Train Your Dragon 2,2014.0,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera,Dean DeBlois,dragon father son relationship husband wife relationship mother son relationship viking
Gods of Egypt,2016.0,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown,Alex Proyas,ancient egypt egypt egyptian egyptian god egyptian goddess
Stealth,2005.0,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh,Rob Cohen,artificial intelligence box office flop fighter jet navy pilot
Watchmen,2009.0,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie,Zack Snyder,conspiracy cynicism false promise of the american dream male full frontal nudity male nudity
Lethal Weapon 4,1998.0,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love,Richard Donner,kung fu lapd martial arts private investigator triad
Hulk,2003.0,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston,Ang Lee,1980s c 130 hercules monster panzer san francisco california
G.I. Joe: Retaliation,2013.0,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung,Jon M. Chu,general gi joe martial arts ninja president
Sahara,2005.0,Action Adventure Comedy Thriller,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Breck Eisner,beach civil war desert dictator ship
